date,wind_speed,temperature,precipitation,runoff,snowmelt,sam,oni,iod
1979-01-01,3.5911889144699267,20.30060808043662,33.12750800059118,4.7718231805014115,0.00794150212117715,0.74,0.03,0.317
1979-02-01,4.052137401022195,19.015505879204877,13.530812496407949,2.303861684738192,0.008822354336887063,-0.9,0.07,-0.158
1979-03-01,2.6680877696755827,15.47625468117661,31.482285553359116,2.530780951669195,0.20118037508760625,1.51,0.2,-0.034
1979-04-01,2.939222661658343,12.290993495554755,11.758993406807413,1.7876308914806065,0.1714878517195717,-0.49,0.28,-0.207
1979-05-01,4.3992435292537255,7.483713228922506,74.61440213242435,12.95891420471404,18.36919428885945,1.54,0.23,-0.444
1979-06-01,5.418746081102052,5.016111072469398,38.053717736201484,14.461717614392084,17.02709782450323,2.52,0.05,0.108
1979-07-01,4.16687671937697,5.541816360740841,67.01822087297471,19.410503281553684,20.859196380605315,3.14,0.04,-0.315
1979-08-01,4.802783462172291,6.330473272968847,91.54766193708731,40.70855815195169,37.55745144917139,1.39,0.17,-0.226
1979-09-01,4.280102176240086,6.910609592155355,44.095440405635074,21.879376290068937,19.075464911784593,-0.02,0.33,-0.28
1979-10-01,4.827402943723235,10.290414466030072,52.79192834143335,24.935239572012044,32.35769484355197,0.54,0.45,-0.314
1979-11-01,3.365647916906131,13.289790821076533,53.537425574680064,33.46162456625778,23.929979798222966,-1.26,0.52,-0.251
1979-12-01,3.7873049106317502,17.528253934893467,40.71842429059095,23.428043211754723,10.202940017280225,-1.88,0.64,-0.101
1980-01-01,4.701617603745053,20.24884572533696,12.089784769722247,6.632237294327219,0.5354950415697672,0.01,0.59,-0.158
1980-02-01,4.873536412302148,17.933317583762133,53.97216066892685,8.169300144537605,0.24140008135116803,-1.75,0.46,-0.2
1980-03-01,4.456261263965919,16.443425643131437,26.903456417950427,5.9804606571104895,0.2620222258870071,-2.58,0.34,-0.417
1980-04-01,3.035871048738244,8.56012711984458,88.99751476594417,13.565361443555581,21.200631244318327,-1.77,0.38,-0.095
1980-05-01,4.72896438672886,7.439132903137414,86.20262470234438,35.441920470593416,28.41346150314094,-0.51,0.48,-0.066
1980-06-01,4.643077654143431,4.278663945650993,53.96839620630804,26.06200737333489,21.680171371779615,3.19,0.46,-0.382
1980-07-01,3.825815329628682,3.476064286003273,60.431737918273676,20.94341353916397,20.12935685633427,-1.68,0.25,-0.661
1980-08-01,5.330571036041254,6.4205024235866475,57.093220725754485,25.860176976380686,29.30687349810486,-1.68,0.03,-0.822
1980-09-01,4.273905015985639,9.301313211534373,24.379973780473655,21.607188270980362,20.891903764454735,-2.56,-0.07,-0.745
1980-10-01,3.6278715708336575,11.937020304291591,17.07247724965093,25.92317089636254,23.327117341138955,0.45,0.02,-0.657
1980-11-01,5.041666593497246,14.044222013664532,41.28077723306763,26.535289161227762,21.9251279058662,-2.09,0.11,-0.417
1980-12-01,4.8896459928734375,17.395713918650312,35.54215135497799,18.876384556684968,9.180621888499672,-0.1,-0.01,-0.483
1981-01-01,3.97062964990468,18.001665185674874,57.199810928020604,9.925060860652906,1.0621692831059302,0.84,-0.26,-0.201
1981-02-01,5.057663123279289,18.59770616646187,22.117232274248657,4.665023225378686,0.018029130759187748,1.76,-0.5,-0.024
1981-03-01,2.6158598583477053,15.218959894897525,38.28530065996418,4.459445736764039,0.30270576420938927,-2.47,-0.47,0.027
1981-04-01,2.170877402986888,11.23628623411434,50.12148035518919,5.258109300091491,0.4543468496064876,-3.52,-0.37,0.092
1981-05-01,5.3507423265971905,7.7457846874425575,108.98746428402536,39.92189004949663,32.955323552164806,0.88,-0.26,-0.018
1981-06-01,4.075699981233228,4.636467414870233,57.139476927010996,21.59710912196275,22.9301434722298,0.38,-0.29,-0.24
1981-07-01,4.179015709720184,4.447869472170532,42.34564951724557,21.281936836870187,17.994978720821763,-1.43,-0.3,-0.56
1981-08-01,5.1183607060916385,6.283204659278597,31.39492167228062,16.720232000205367,14.844108362464029,-1.99,-0.25,-0.628
1981-09-01,5.021556174765754,7.452176999464583,36.97179515184014,17.258423623883104,19.190898661602507,-1.49,-0.16,-0.757
1981-10-01,3.4100018211818313,11.839043730539016,31.36029008064618,20.622936506200254,19.532808857356972,-0.39,-0.13,-0.606
1981-11-01,4.834078902986656,14.516504554639985,31.66504786951858,17.735375715430443,10.070869583935965,2.34,-0.15,-0.328
1981-12-01,4.368032410624475,17.14912519281216,28.734637486842967,9.916081490133966,3.4714910042156957,2.21,-0.08,-0.019
1982-01-01,4.336596370082567,20.28347491128596,31.095069213316194,5.3874929904328885,0.7257831455847724,-0.77,-0.05,0.144
1982-02-01,4.059944562692247,17.183547478677166,28.46151149730484,4.028240494882235,0.2125946680674538,0.7,0.07,0.166
1982-03-01,3.754556958448682,15.666383926862187,29.075355889462507,3.8229321555836613,1.6525481398659798,4.28,0.19,0.054
1982-04-01,2.689938143287243,12.606548978884152,46.30691992904221,3.1043000111673797,0.23544521917798844,2.89,0.47,0.119
1982-05-01,4.371222873667902,8.962843486637773,63.92994449140795,14.232324725638557,14.298351765192658,-0.7,0.66,0.223
1982-06-01,3.711681913621287,1.902864118436895,83.79498909172825,20.951257595411846,20.693734239202204,2.4,0.72,0.255
1982-07-01,2.651595334426676,1.2475393704326783,85.04855459487895,25.108326431488603,46.3862046308752,0.01,0.79,0.265
1982-08-01,3.821288461598324,5.443737442293108,64.87707569623059,17.779465938884425,33.70738882127491,1.0,1.07,0.256
1982-09-01,2.816829283252784,8.28517594640053,71.4787918990242,31.02710603054673,39.49114382532257,1.56,1.58,0.442
1982-10-01,5.68856940598964,9.933261666313198,57.10779723255275,33.571719116449685,26.95916740342588,-2.14,1.97,0.623
1982-11-01,3.6914374447641984,13.350834062124452,35.89472990771899,30.786322226557896,23.812711227985343,-2.32,2.18,0.284
1982-12-01,4.410982800711364,18.43829797189558,20.87782241893865,16.499248782058174,7.376217621645438,-2.21,2.23,-0.162
1983-01-01,3.203402755023947,19.72716787842499,40.64880761033147,6.2380498041434995,0.11588861653136906,-2.44,2.18,-0.482
1983-02-01,4.435763028317144,17.9209669710692,16.51056647429983,3.2006935485297054,0.28087291392768,0.89,1.92,-0.587
1983-03-01,2.9861589128415833,15.134995547401473,60.696918978399395,3.9557100937003113,0.295871435844675,-0.71,1.54,-0.752
1983-04-01,3.8625863137756062,11.237075066541284,50.036010187703035,5.5554648427850655,2.289012347508919,-0.6,1.29,-0.556
1983-05-01,3.2662828887793025,6.921447873319402,63.64645566564832,7.353761894311569,6.233984015032213,-0.68,1.06,-0.059
1983-06-01,4.455718040964803,2.158868752690463,48.49200249206815,12.114742783485152,19.574215114231365,0.38,0.72,0.371
1983-07-01,6.002604076907984,3.603452827499777,53.55520605547591,11.876430204704887,14.812167613855863,1.63,0.31,0.525
1983-08-01,3.3515796868427437,5.5567884668709775,31.441808126521178,10.039923532314365,14.907960774236402,0.09,-0.08,0.345
1983-09-01,4.389949492571642,7.3861463780492445,38.45798379763679,11.662801710396966,17.385749727045507,-0.72,-0.46,-0.069
