date,wind_speed,temperature,precipitation,runoff,snowmelt,sam,oni,iod,wind_std,runoff_std,whdi_1,whdi_3,whdi_6
1979-01-01,3.591188914469925,20.30060808043656,33.12750800059116,4.77182318050141,0.0079415021211771,0.74,0.03,0.317,-0.804030969338787,-0.5058117485290226,-0.8529570590168242,,
1979-02-01,4.052137401022192,19.01550587920491,13.530812496407943,2.303861684738191,0.008822354336887,-0.9,0.07,-0.158,0.5175275362051444,-1.0971320960575808,-0.37743294978898984,,
1979-03-01,2.6680877696755827,15.476254681176592,31.482285553359105,2.5307809516691937,0.2011803750876061,1.51,0.2,-0.034,-0.8840566229429524,-1.076072796839547,-1.2764175441701884,-1.2025500333608619,
1979-04-01,2.939222661658343,12.290993495554746,11.75899340680741,1.7876308914806065,0.1714878517195716,-0.49,0.28,-0.207,-1.0325763881979253,-1.3107253717759646,-1.525935709922381,-1.5246340839763344,
1979-05-01,4.399243529253722,7.483713228922497,74.61440213242432,12.958914204714034,18.369194288859443,1.54,0.23,-0.444,0.3455450615749254,-0.04802728993348727,0.19374072935841669,-1.251273358584533,
1979-06-01,5.418746081102043,5.016111072469399,38.05371773620147,14.46171761439208,17.027097824503226,2.52,0.05,0.108,0.8880619261404787,-0.6029317689532675,0.1856740332207984,-0.5515240025192373,-1.1141180120518899
1979-07-01,4.166876719376969,5.541816360740826,67.01822087297468,19.41050328155368,20.859196380605308,3.14,0.04,-0.315,0.025077382595315657,0.45595386437013574,0.3132429505542014,0.3286972526048981,-0.7617657711027878
1979-08-01,4.802783462172288,6.330473272968837,91.54766193708726,40.70855815195168,37.557451449171374,1.39,0.17,-0.226,0.8198528906569004,3.739699620046463,2.9691370169183995,1.6569873508979451,0.24935703594988687
1979-09-01,4.280102176240092,6.910609592155359,44.09544040563506,21.87937629006893,19.075464911784582,-0.02,0.33,-0.28,0.604663812943769,0.8774677026248942,0.96514987742458,2.0300403993419756,0.926617623975388
1979-10-01,4.827402943723231,10.290414466030086,52.79192834143333,24.935239572012037,32.357694843551954,0.54,0.45,-0.314,0.5957662741725855,0.06834292578891732,0.43246156377253436,2.087097801983874,1.5183220163538804
1979-11-01,3.3656479169061275,13.289790821076528,53.53742557468004,33.46162456625777,23.92997979822296,-1.26,0.52,-0.251,-1.1477995529493525,1.916854163827128,0.5008010123424883,0.9057651437129807,1.6110963071513063
1979-12-01,3.7873049106317462,17.52825393489348,40.71842429059094,23.428043211754712,10.20294001728022,-1.88,0.64,-0.101,-0.7674049737651809,2.6936688855738478,1.2543646490481757,1.0441818156490255,1.9339873466622428
1980-01-01,4.70161760374505,20.248845725336988,12.08978476972224,6.632237294327218,0.535495041569767,0.01,0.59,-0.158,0.4335329961066313,0.5873310091034168,0.6647768832562809,1.1553667083921588,2.0401987751828026
1980-02-01,4.873536412302149,17.933317583762154,53.972160668926826,8.169300144537601,0.2414000813511679,-1.75,0.46,-0.2,1.3331756295256365,3.285194253734315,3.007438327778554,2.355030173040225,2.0517710205970583
1980-03-01,4.4562612639659145,16.44342564313144,26.903456417950416,5.980460657110488,0.2620222258870069,-2.58,0.34,-0.417,1.1027142837497146,1.083700608349946,1.4237724810133445,2.4361078723876064,2.1903379051779073
