lead,target,fold,feature_group,model,rmse,mae,r2,best_params
1,whdi_3,3,climate_only,persistence,0.5328527260871811,0.47245785804284135,0.7284232803329858,
1,whdi_3,3,climate_only,elasticnet,0.9611440503623525,0.7610630912979827,0.11640119846383312,"{'alpha': 0.1, 'l1_ratio': 0.9}"
1,whdi_3,3,climate_only,random_forest,0.9036106501328366,0.6920835802362175,0.21901833846774432,"{'max_depth': 3, 'min_samples_leaf': 20, 'n_estimators': 300}"
1,whdi_3,3,climate_only,xgboost,0.9168997771584176,0.7017710214547261,0.19587810279403572,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,3,climate_only,lstm,1.007351665798071,0.7934688017795967,0.029399809637110308,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,3,local_only,climatology,1.0331420775477895,0.8069034625712077,-0.020935378654440173,
1,whdi_3,3,local_only,persistence,0.5328527260871811,0.47245785804284135,0.7284232803329858,
1,whdi_3,3,local_only,elasticnet,0.4785117710472516,0.39334857803798146,0.7809902721904031,"{'alpha': 0.01, 'l1_ratio': 0.5}"
1,whdi_3,3,local_only,random_forest,0.5149983226446941,0.42333299978196426,0.7463179238294612,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,3,local_only,xgboost,0.5305954939132943,0.43733735326354917,0.7307192742593858,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,3,local_only,lstm,1.2922189143636875,1.00246247516079,-0.5971670478764504,"{'hidden_size': 64, 'dropout': 0.2, 'lr': 0.001, 'seq_length': 12}"
1,whdi_3,3,combined,climatology,1.0331420775477895,0.8069034625712077,-0.020935378654440173,
1,whdi_3,3,combined,persistence,0.5328527260871811,0.47245785804284135,0.7284232803329858,
1,whdi_3,3,combined,elasticnet,0.4780721599173601,0.39688706257752127,0.781392497981589,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,3,combined,random_forest,0.494233052987388,0.4123647780596208,0.7663629428728617,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,3,combined,xgboost,0.48339643839111074,0.4005290563186514,0.7764961303181409,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,3,combined,lstm,0.9722252254093529,0.7803239136864212,0.09590946103651676,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,4,climate_only,climatology,0.8546804612529939,0.6536795262424344,-0.017006381035982177,
1,whdi_3,4,climate_only,persistence,0.5917156681886736,0.4832124890043029,0.51253631767659,
1,whdi_3,4,climate_only,elasticnet,0.9448588626205213,0.7030696664892532,-0.24293955315283888,"{'alpha': 0.1, 'l1_ratio': 0.5}"
1,whdi_3,4,climate_only,random_forest,1.0249289956422145,0.7375429754755819,-0.4625263039493457,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 300}"
1,whdi_3,4,climate_only,xgboost,1.025404642844287,0.7542531874448227,-0.4638840720768682,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0.1, 'subsample': 0.7}"
1,whdi_3,4,climate_only,lstm,1.0711128182371148,0.7857751286189488,-0.5973002501545817,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,4,local_only,climatology,0.8546804612529939,0.6536795262424344,-0.017006381035982177,
