date,wind_speed_mean,wind_speed_std,temperature_mean,temperature_std,precipitation_mean,precipitation_std,runoff_mean,runoff_std,snowmelt_mean,snowmelt_std,sam_mean,sam_std,oni_mean,oni_std,iod_mean,iod_std
1,4.3126215679313065,0.8972697333470474,19.290622454594974,0.9461307723841289,28.04818015824508,11.66521576734787,5.6326616293975,1.7018949271137718,0.39271055529676935,0.38376660449400174,0.9397872340425533,1.700054333353857,0.04510638297872341,1.0740331796761813,-0.013106382978723406,0.24886352415334803
2,3.5309609156846307,1.0070507342646422,18.361606776272605,1.0791557100948235,29.59080398955257,13.327111253423164,3.7722965474229526,1.3384303202516954,0.37622442298407194,0.6107088717672515,0.19787234042553192,1.9416845400100318,0.04702127659574467,0.9253317029082223,-0.03193617021276596,0.23248145360860592
3,3.4637741848899113,0.9000401044059299,15.47430937098417,0.9520804022828728,37.4434604392764,13.961015606234772,4.249529075854539,1.597241496331245,0.8447022345477155,0.870325047465025,0.2472340425531915,1.663022003210943,0.05510638297872341,0.7442208424585247,-0.03895744680851064,0.2645470252802776
4,3.928244651137267,0.9578196836410204,11.147614602489746,1.0903101295660733,44.142031519616246,20.25442069391332,6.7373785329799505,3.7763422819783323,4.394653066846959,3.6542588389434743,0.5540425531914893,1.6378295016303532,0.060425531914893624,0.6069630654432039,-0.01914893617021277,0.2615562104956478
5,4.052847588484762,1.0024624261453956,7.325495955526084,1.0875363505177784,55.093439502271316,24.26184157565128,13.326590213954674,7.655564362466261,11.87205921162024,7.465154282194168,0.31957446808510637,1.5100100164464914,0.0625531914893617,0.5574260258393675,-0.03715217391304348,0.3060173537120842
6,4.5049722525781695,1.0289528259534093,4.40481127715588,1.2999549742196226,62.70213714163113,20.918734993387186,18.332740564702053,6.4203333604901,19.415037599097783,7.043783089024584,0.39042553191489365,1.7862225839278683,0.054893617021276576,0.5751592306575161,-0.04645652173913044,0.34611242274547727
7,4.1405485130124715,1.0498785614657962,3.7421522757657693,1.2654167239501652,53.9235185184463,21.12509787369065,16.67067350374246,6.009006594551137,17.786812327057948,7.014563743609681,0.32851063829787236,1.6218655103244592,0.04617021276595745,0.6422601165838508,-0.056239130434782604,0.3671578034810167
8,4.111106617117068,0.8436597015606292,5.631069969289353,0.9163465885843833,51.33766373257245,15.74304696496938,16.61377323319634,6.442973331225993,20.210771390023034,6.7825225713429855,-0.05425531914893618,1.708272385215735,0.036808510638297855,0.7425136695652221,-0.051956521739130436,0.41243622841850025
9,3.6830221575598854,0.9874578334254186,8.096320097799321,0.8822839096571028,41.837001214675674,16.130848151905056,17.866076663797806,4.573729168909088,20.88644373488287,5.732861109992366,-0.07808510638297872,1.6775054439072845,0.030212765957446812,0.8694663264767452,-0.04619565217391304,0.4260355029319201
10,4.114710279045031,1.1962621846428028,11.444877960023105,0.9414354340175027,42.26433667554848,15.297195021695373,24.55777568653605,5.523086422167736,23.492286703744902,6.144024872150233,0.18468085106382978,1.911052351868433,0.027234042553191496,0.9992817031719193,-0.07917391304347828,0.4788466376779302
11,4.5014674810044015,0.9895626472232935,14.87100372628813,1.1214873146105189,35.307447318480286,10.869150524285748,20.58089623967959,6.719722642259305,12.971953655648722,6.968565917364638,0.41595744680851066,2.0597706284021338,0.02702127659574468,1.1078041635392317,-0.042847826086956524,0.4014756097416022
12,4.6436087480335715,1.1158434811810936,17.64776423533044,1.166623281805594,31.07370886821029,12.841153931254897,10.956680861557736,4.629879498919976,3.2938405698229802,3.1720843077297642,0.5831914893617022,1.7084051886545082,0.030638297872340434,1.1420032061466439,-0.03006521739130435,0.28318022546890237
