lead,target,fold,feature_group,model,rmse,skill_vs_clim,skill_vs_persist
1,whdi_3,1,climate_only,elasticnet,1.4412477401554695,-0.015480136323318794,-1.8632307185752444
1,whdi_3,1,climate_only,random_forest,1.5510468414071314,-0.17609927230873645,-2.3161097338256598
1,whdi_3,1,climate_only,xgboost,1.5178233727878383,-0.12625472592530884,-2.1755688889055387
1,whdi_3,1,climate_only,lstm,1.465396146705749,-0.04979438224054267,-1.9599825894199725
1,whdi_3,2,climate_only,elasticnet,0.6640817763882292,-0.09830397572247729,-0.141721699289457
1,whdi_3,2,climate_only,random_forest,0.5941042530772891,0.12096786214528932,0.08621830718464074
1,whdi_3,2,climate_only,xgboost,0.5924922575368,0.12573158331543055,0.09117034591848672
1,whdi_3,2,climate_only,lstm,0.6330625788835396,0.001903079253071871,-0.03755329817608
1,whdi_3,3,climate_only,elasticnet,0.9611440503623524,0.13452034280492753,-2.2535881669811944
1,whdi_3,3,climate_only,random_forest,0.9036106501328366,0.2350332079180526,-1.8757312574134968
1,whdi_3,3,climate_only,xgboost,0.9168997771584176,0.21236748768000302,-1.9609382504947939
1,whdi_3,3,climate_only,lstm,1.0857385674872455,-0.10441025504767087,-3.1517973385547577
1,whdi_3,4,climate_only,elasticnet,0.9448588626205212,-0.22215511753889627,-1.5498095514081904
1,whdi_3,4,climate_only,random_forest,1.0249289956422143,-0.43806993861683563,-2.000277470884538
1,whdi_3,4,climate_only,xgboost,1.025404642844287,-0.43940500214528666,-2.003062843778477
1,whdi_3,4,climate_only,lstm,0.952474296839729,-0.2419353192734941,-1.5910774286095903
1,whdi_3,5,climate_only,elasticnet,0.9818993425871676,-0.2060865856360432,-1.2464980902678149
1,whdi_3,5,climate_only,random_forest,0.8812180357322654,0.028570465933655087,-0.8094178470270683
1,whdi_3,5,climate_only,xgboost,0.8507663150435237,0.0945486487569045,-0.6865246290135332
1,whdi_3,5,climate_only,lstm,1.0277759250348504,-0.32142168507155544,-1.4613251878481162
1,whdi_3,6,climate_only,elasticnet,1.2209823170990126,0.04229695660215571,-3.5578579117244873
1,whdi_3,6,climate_only,random_forest,1.106288686118715,0.21377099624005347,-2.7417862561034867
1,whdi_3,6,climate_only,xgboost,1.1146681397024771,0.20181549098428664,-2.7986843672605
1,whdi_3,6,climate_only,lstm,1.0472347671546405,0.2954688125596272,-2.3529736267088275
1,whdi_3,7,climate_only,elasticnet,0.8390300734594509,0.2851244379685516,-2.8349870105330925
1,whdi_3,7,climate_only,random_forest,1.0053241435067488,-0.02633141141655626,-4.505808059936787
1,whdi_3,7,climate_only,xgboost,0.9775560802176444,0.029582190188787827,-4.205856645652486
1,whdi_3,7,climate_only,lstm,0.9002571537816584,0.17698346974904966,-3.4151148404028984
1,whdi_3,8,climate_only,elasticnet,0.6556379147875578,0.25056167266890905,-0.20190578894733968
1,whdi_3,8,climate_only,random_forest,0.9140732926589608,-0.4566989892277584,-1.3361694806050366
1,whdi_3,8,climate_only,xgboost,0.8806223508769249,-0.3520326735316668,-1.1683117047812148
1,whdi_3,8,climate_only,lstm,0.6527824543764028,0.25707542465914635,-0.19145941072070993
1,whdi_3,1,local_only,elasticnet,0.5797437920706354,0.8356891025469029,0.5367117561868442
1,whdi_3,1,local_only,random_forest,0.7140176535393467,0.7507632652198557,0.29725629316230184
1,whdi_3,1,local_only,xgboost,0.7402062472648239,0.7321450686834264,0.24476073924572306
1,whdi_3,1,local_only,lstm,1.3502495756276418,0.10870339374968796,-1.5130849251444443
1,whdi_3,2,local_only,elasticnet,0.6094502320121128,0.07496977370706948,0.038401840289667644
1,whdi_3,2,local_only,random_forest,0.6065479660440878,0.08375897824455214,0.04753849622623252
1,whdi_3,2,local_only,xgboost,0.5854877343086883,0.14628083088189114,0.11253193830939656
1,whdi_3,2,local_only,lstm,0.6091696903857992,0.0758211959950601,0.03928692067082351
1,whdi_3,3,local_only,elasticnet,0.4785117710472516,0.7854813023540779,0.19356221667995255
1,whdi_3,3,local_only,random_forest,0.5149983226446941,0.7515199478101311,0.06589166964832749
1,whdi_3,3,local_only,xgboost,0.5305954939132943,0.7362411653365195,0.008454310550680133
1,whdi_3,3,local_only,lstm,0.7969039679624417,0.4050343686745601,-1.2366477614443094
1,whdi_3,4,local_only,elasticnet,0.4282059735257845,0.7489860305844134,0.4763039424638533
1,whdi_3,4,local_only,random_forest,0.4536830278420842,0.71822820798082,0.4121332093632206
1,whdi_3,4,local_only,xgboost,0.4769172528255409,0.6886287459272313,0.35037918978118276
1,whdi_3,4,local_only,lstm,0.6153917380446036,0.48156325982060444,-0.08162616425674596
1,whdi_3,5,local_only,elasticnet,0.4741910551680584,0.7187119621511048,0.47606328818467236
